Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M12;105,114
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M11;104,495
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M10;104,118
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M09;102,941
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M08;102,936
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M07;102,804
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M06;103,558
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M05;103,080
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M04;102,521
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M03;101,807
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M02;101,158
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2016M01;101,516
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M12;103,490
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M11;103,794
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M10;103,415
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M09;102,758
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M08;103,074
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M07;103,418
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M06;104,387
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M05;104,109
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M04;103,614
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M03;102,670
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M02;102,019
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2015M01;101,810
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M12;103,472
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M11;104,079
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M10;104,152
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M09;103,668
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M08;103,511
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M07;103,348
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M06;104,329
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M05;104,299
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M04;104,276
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M03;103,356
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M02;103,126
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2014M01;103,171
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M12;104,562
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M11;104,468
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M10;104,251
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M09;103,829
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M08;104,023
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M07;103,701
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M06;104,239
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M05;104,085
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M04;103,894
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M03;103,507
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M02;103,144
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M01;102,966
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M12;104,298
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M11;104,225
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M10;104,355
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M09;103,475
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M08;102,467
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M07;101,893
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M06;102,132
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M05;102,323
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M04;102,474
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M03;101,055
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M02;100,380
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M01;100,275
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M12;101,391
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M11;101,259
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M10;100,850
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M09;100,061
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M08;99,817
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M07;99,693
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M06;100,232
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M05;100,373
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M04;100,406
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M03;99,172
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M02;98,436
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2011M01;98,311
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M12;99,036
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M11;98,431
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M10;97,900
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M09;97,013
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M08;96,946
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M07;96,703
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M06;97,138
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M05;96,965
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M04;96,749
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M03;95,730
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M02;95,025
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2010M01;95,198
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M12;96,163
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M11;96,188
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M10;95,669
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M09;94,992
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M08;95,216
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M07;94,885
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M06;95,702
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M05;95,283
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M04;95,316
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M03;94,394
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M02;94,239
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M01;94,229
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M12;95,405
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M11;95,897
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M10;96,306
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M09;95,976
